gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Icenc-SB0587_TripartMot39_Icenc-SB0587,Nontoxin,Nontoxin,8.12
Icenc-SB0587_TrimethABDehydro_Icenc-SB0587,Nontoxin,Nontoxin,44.11
Icenc-SB0587_Trifunctional-b_Icenc-SB0587,Nontoxin,Nontoxin,91.13
Icenc-SB0587_TrifuncEnzA_Icenc-SB0587,Nontoxin,Nontoxin,141.89
Icenc-SB0587_TRB2_Icenc-SB0587,Nontoxin,Nontoxin,15.82
Icenc-SB0587_TRAP-g_Icenc-SB0587,Nontoxin,Nontoxin,727.73
Icenc-SB0587_TRAP-b_Icenc-SB0587,Nontoxin,Nontoxin,1137.63
Icenc-SB0587_TranslocMem44_Icenc-SB0587,Nontoxin,Nontoxin,30.3
Icenc-SB0587_Translocator_Icenc-SB0587,Nontoxin,Nontoxin,73.23
Icenc-SB0587_TranslocaseOMM_Icenc-SB0587,Nontoxin,Nontoxin,696.36
Icenc-SB0587_Translocase2_Icenc-SB0587,Nontoxin,Nontoxin,3364.93
Icenc-SB0587_TranslinX_Icenc-SB0587,Nontoxin,Nontoxin,27.44
Icenc-SB0587_Translin_Icenc-SB0587,Nontoxin,Nontoxin,36.49
Icenc-SB0587_transketolase_Icenc-SB0587,Nontoxin,Nontoxin,166.85
Icenc-SB0587_Transgelin2_Icenc-SB0587,Nontoxin,Nontoxin,508.25
Icenc-SB0587_transgelin-1_Icenc-SB0587,Nontoxin,Nontoxin,60.49
Icenc-SB0587_TransformingRhoA-1_Icenc-SB0587,Nontoxin,Nontoxin,599.68
Icenc-SB0587_Transducin-b3_Icenc-SB0587,Nontoxin,Nontoxin,41.05
Icenc-SB0587_TranscriptionalAdapter1_Icenc-SB0587,Nontoxin,Nontoxin,14.84
Icenc-SB0587_Transaldolase_Icenc-SB0587,Nontoxin,Nontoxin,242.59
Icenc-SB0587_TransAd3_Icenc-SB0587,Nontoxin,Nontoxin,54.11
Icenc-SB0587_Transactivator3_Icenc-SB0587,Nontoxin,Nontoxin,172.03
Icenc-SB0587_Trafpp1_Icenc-SB0587,Nontoxin,Nontoxin,51.34
Icenc-SB0587_Traffppc2_Icenc-SB0587,Nontoxin,Nontoxin,78.85
Icenc-SB0587_TraffPP2_Icenc-SB0587,Nontoxin,Nontoxin,52.45
Icenc-SB0587_Trafficking6B_Icenc-SB0587,Nontoxin,Nontoxin,43.43
Icenc-SB0587_Trafficking5_Icenc-SB0587,Nontoxin,Nontoxin,40.05
Icenc-SB0587_Trafficking3_Icenc-SB0587,Nontoxin,Nontoxin,74.37
Icenc-SB0587_TP53RK_Icenc-SB0587,Nontoxin,Nontoxin,14.18
Icenc-SB0587_tom5_Icenc-SB0587,Nontoxin,Nontoxin,199.87
Icenc-SB0587_TOM34_Icenc-SB0587,Nontoxin,Nontoxin,28.79
Icenc-SB0587_TOM22_Icenc-SB0587,Nontoxin,Nontoxin,224.38
Icenc-SB0587_TOM20_Icenc-SB0587,Nontoxin,Nontoxin,214.44
Icenc-SB0587_TOM1_Icenc-SB0587,Nontoxin,Nontoxin,87.01
Icenc-SB0587_TollInteracting_Icenc-SB0587,Nontoxin,Nontoxin,15.7
Icenc-SB0587_Tob2_Icenc-SB0587,Nontoxin,Nontoxin,6.36
Icenc-SB0587_Tob1_Icenc-SB0587,Nontoxin,Nontoxin,86.48
Icenc-SB0587_TnfB4_Icenc-SB0587,Nontoxin,Nontoxin,28.94
Icenc-SB0587_TmProt43_Icenc-SB0587,Nontoxin,Nontoxin,4.9
Icenc-SB0587_TMP93_Icenc-SB0587,Nontoxin,Nontoxin,89.64
Icenc-SB0587_TMP9-3_Icenc-SB0587,Nontoxin,Nontoxin,137.1
Icenc-SB0587_TMP9-2_Icenc-SB0587,Nontoxin,Nontoxin,147.29
Icenc-SB0587_TMP85_Icenc-SB0587,Nontoxin,Nontoxin,194.72
Icenc-SB0587_TMP66_Icenc-SB0587,Nontoxin,Nontoxin,271.5
Icenc-SB0587_TMP59_Icenc-SB0587,Nontoxin,Nontoxin,612.25
Icenc-SB0587_TMP50A_Icenc-SB0587,Nontoxin,Nontoxin,236.91
Icenc-SB0587_TMP49_Icenc-SB0587,Nontoxin,Nontoxin,61.1
Icenc-SB0587_TMP41B_Icenc-SB0587,Nontoxin,Nontoxin,120.25
